id,jaccard_1,jaccard_10,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,max_jaccard,mean_jaccard,similar_1,similar_10,similar_2,similar_3,similar_4,similar_5,similar_6,similar_7,similar_8,similar_9
21f1000303,0.03125,,0.03125,0.0234375,0.0234375,0.0234375,0.0234375,0.015625,0.015625,0.0078125,0.03125,0.021701388888888888,22f3002354,,23f2004527,22f3003031,22f1000693,23f2003700,23f1001713,21f1004929,24ds1000075,22f3001421
21f1000330,0.984375,0.140625,0.984375,0.9765625,0.9765625,0.9609375,0.953125,0.6640625,0.59375,0.1640625,0.984375,0.73984375,23f2004225,24f1001336,22f3001738,22f3001192,23f1001050,23f3001470,23f2005059,22f3000130,21f2000168,23f2004165
21f1000398,0.1015625,0.0859375,0.09375,0.09375,0.09375,0.0859375,0.0859375,0.0859375,0.0859375,0.0859375,0.1015625,0.08984375,23f3001831,23f1001245,23f1000996,21f1001238,23f2003700,23f2005076,23f2002364,22f3001028,23f1001545,23f1001362
21f1000601,0.5703125,0.21875,0.2421875,0.234375,0.234375,0.234375,0.234375,0.21875,0.21875,0.21875,0.5703125,0.2625,23f1002786,22f3002336,23f3003763,21f1006244,23f2005597,22f2001730,23f1002480,23f2002351,22f2000517,21f3002925
21f1001102,0.109375,0.0546875,0.0625,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.109375,0.0609375,21f2001529,22f1001445,23f1002092,22f3003031,23f2004165,22f3000130,24ds2000109,21f2000168,23f2001475,23f1001467
21f1001141,0.203125,0.1484375,0.1796875,0.1796875,0.15625,0.15625,0.15625,0.15625,0.15625,0.1484375,0.203125,0.1640625,23f2005698,22f3000983,23f2002904,21f2000753,23f1002374,22f1001711,22f1000522,23f1001467,22f3001415,23f2003111
21f1001238,0.234375,0.140625,0.1953125,0.1953125,0.1796875,0.1640625,0.15625,0.1484375,0.1484375,0.1484375,0.234375,0.17109375,23f2000934,23f1002374,22f3000983,23f2003700,23f2005504,22f1000522,22f3001210,21f1004929,22f3001652,23f2005698
21f1001940,0.1484375,0.125,0.140625,0.140625,0.1328125,0.1328125,0.125,0.125,0.125,0.125,0.1484375,0.13203125,21f3002090,24ds2000141,22f1001853,23f2005504,22f2000169,23f1000200,23f1002330,23f2004527,22f1001786,22f2001062
21f1002449,1.0,0.609375,1.0,1.0,1.0,1.0,0.984375,0.984375,0.9765625,0.609375,1.0,0.91640625,23f2000819,22f2001246,23f2004328,23f1001909,22f3003253,22f3002769,21f3002711,23f1002044,22f3001412,23f1001173
21f1002570,1.0,0.1171875,1.0,1.0,0.9921875,0.8515625,0.1484375,0.125,0.1171875,0.1171875,1.0,0.546875,22f3001318,22f3000703,23f1002973,22f2000625,22f3000612,23ds3000248,22f3003067,22f2000169,23f2001366,23f3003749
21f1002727,0.140625,0.1171875,0.140625,0.1328125,0.125,0.125,0.1171875,0.1171875,0.1171875,0.1171875,0.140625,0.125,23f2004165,23f1000966,22f1000493,23f2005504,24f1001336,22f3002336,23f2001030,22f2001661,22f3001953,23f1001758
21f1002741,0.1640625,0.0859375,0.140625,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.1640625,0.1046875,22f3000087,23f2001030,23f1000698,22f3002393,21f1004929,23f2002364,22f2001193,23f3003721,23ds3000136,22f1000493
21f1002851,0.1640625,0.109375,0.1328125,0.1328125,0.1328125,0.1328125,0.1328125,0.125,0.125,0.1171875,0.1640625,0.13046875,24ds2000136,21f2001525,23f2001030,24f1001336,22f3001119,24ds2000126,23ds3000089,22f3000983,22f3001415,23f2000934
21f1002993,0.8671875,0.6796875,0.859375,0.859375,0.859375,0.8515625,0.8515625,0.84375,0.8203125,0.6875,0.8671875,0.81796875,23f1000629,23f3003763,23f2001033,22f3000364,23f2003894,23f3001345,22f2000445,22f1001602,22f2000517,22f3002336
21f1003062,1.0,0.1171875,1.0,1.0,1.0,0.9921875,0.8515625,0.1484375,0.125,0.125,1.0,0.6359375,22f3001318,22f3002119,21f1002570,23f1002973,22f2000625,22f3000612,23ds3000248,22f3003067,22f2000169,22f2000902
21f1003248,0.109375,0.078125,0.09375,0.09375,0.09375,0.09375,0.0859375,0.0859375,0.0859375,0.078125,0.109375,0.08984375,23f2002904,21f1004719,24f1001336,23f2000934,23f2005504,23f2001005,23f2004527,22f1000522,23f2005698,21f1001238
